contact_external_id,portal_id,vendor_id,type_id,detail_url,title,description,street,house_number,zip_code,city,latitude,longitude,price,living_space_area,land_area,rs_category_id,price_value,advertiser_id
"1","12","8","1","https://icasa.ch/5.5-rooms-apartment-to-buy-basel-landschaft-sissach-sissach-4450-sissach-1822710.html","5.5 Rooms Apartment to buy in Sissach. Grenzenloses Wohngefühl in lichtdurchfluteten grossen Räumen","Schon beim Betreten dieser Wohnung spüren Sie die angenehme und einladende Atmosphäre, die durch den freundlichen Eingangsbereich und den klug durchdachten Grundriss unterstrichen wird. Der rechte Flügel der Wohnung öffnet sich zu einem grosszügigen Wohn- und Essbereich, der nicht nur durch hochwertige Einbauschränke, sondern auch durch eine erstklassige Geräteausstattung besticht. Von hier aus gelangen Sie nahtlos in den lichtdurchfluteten Wintergarten und auf die weitläufige Terrasse - ideale Orte, um den unverbaubaren Blick ins Grüne zu geniessen oder gesellige Stunden im Freien zu verbringen.Auf der gegenüberliegenden Seite befinden sich ein separates Gäste-WC sowie ein modernes Duschbad, was den Alltag für Familie und Gäste gleichermassen komfortabel gestaltet. Entlang des Korridors finden Sie zwei helle Zimmer, die sich hervorragend als Kinder- oder Arbeitszimmer eignen, wobei eines davon über einen praktischen, direkten Zugang zur Terrasse verfügt. Am Ende des Flurs erwartet Sie schliesslich das Herzstück des privaten Bereichs: das grosszügige Elternschlafzimmer mit exklusivem Bad en suite. Die integrierte Whirlpool-Badewanne verspricht Entspannung auf höchstem Niveau und macht diesen Raum zu einem echten Rückzugsort.Ein weiteres Merkmal verbirgt sich im Untergeschoss, wo ein ca. 40m² grosser, vielseitig nutzbarer Raum zur Verfügung steht. Dank seiner abgeschiedenen Lage eignet er sich perfekt als ruhiges Home-Office, privater Hobbyraum oder moderner Fitnessbereich, der für die ideale Work-Life-Balance direkt im eigenen Zuhause sorgtFolgende Highlights bietet Ihnen diese Immobilie:Helle Zimmer mit zeitgemässem GrundrissGrosse Terrasse mit unverbaubarer AussichtNeubau nach Minergie-Standard1 x Carport 1 x Aussenparkplatz Kinderfreundliche UmgebungGerne stehen wir Ihnen für weitere Informationen oder zur Vereinbarung eines Besichtigungstermins zur Verfügung. Wir freuen uns auf Ihre Kontaktaufnahme!","Street on Request","","4450","Sissach","47.4736973","7.8031928","CHF 1’295’000.–","204","","7","1295000",""
"1","12","8","1","https://icasa.ch/5.5-rooms-apartment-to-buy-basel-landschaft-sissach-sissach-4450-sissach-1822708.html","5.5 Rooms Apartment to buy in Sissach. Exklusives Wohnerlebnis mit grossen Fensterfronten und Top Weitsicht","Schon beim Betreten dieser Wohnung spüren Sie die angenehme und einladende Atmosphäre, die durch den freundlichen Eingangsbereich und den durchdachten Grundriss unterstrichen wird.Der rechte Flügel der Wohnung öffnet sich zu einem grosszügigen Wohn- und Essbereich, der durch hochwertige Einbauschränke und eine erstklassige Geräteausstattung besticht. Von hier aus gelangen Sie in den wunderschönen Wintergarten und auf die weitläufige Terrasse - ideale Orte, um den Blick ins Grüne zu genießen oder gesellige Stunden im Freien zu verbringen.Auf der linken Seite befinden sich ein separates Gäste-WC sowie ein modernes Duschbad, was den Alltag für Familie und Gäste gleichermassen komfortabel gestaltet.Entlang des Korridors finden Sie zwei helle Zimmer, die sich hervorragend als Kinder- oder Arbeitszimmer eignen, wobei eines davon einen direkten Zugang zur Terrasse bietet. Am Ende des Flurs erwartet Sie das Herzstück des privaten Bereichs: das grosszügige Elternschlafzimmer mit exklusivem Bad en suite. Die integrierte Whirlpool-Badewanne verspricht Entspannung auf höchstem Niveau und macht diesen Raum zu einem echten Rückzugsort.Ein weiteres Merkmal bietet das Untergeschoss mit einem ca. 40m² grossen, vielseitig nutzbaren Raum. Dank der abgeschiedenen Lage eignet er sich perfekt als ruhiges Home-Office, Hobbyraum oder Fitnessbereich der für die ideale Work-Life-Balance direkt im eigenen Zuhause sorgt.Folgende Highlights bietet Ihnen diese Immobilie:Helle Zimmer mit zeitgemässem GrundrissGrosse Terrasse mit unverbaubarer AussichtNeubau nach Minergie Standard1 x Carport 1 x Aussenparkplatz Kinderfreundliche, ruhige UmgebungGerne stehen wir Ihnen für weitere Informationen oder zur Vereinbarung eines Besichtigungstermins zur Verfügung. Wir freuen uns auf Ihre Kontaktaufnahme!","Street on Request","","4450","Sissach","47.4736973","7.8031928","CHF 1’335’000.–","202","","7","1335000",""
"1","12","8","1","https://icasa.ch/11-rooms-multiple-dwelling-to-buy-basel-landschaft-sissach-sissach-4450-sissach-1822707.html","11 Rooms Multiple-dwelling to buy in Sissach. Modernes Mehrfamilienhaus mit Top Weitsicht und hochwertiger Ausstattung","An ruhiger und familienfreundlicher Lage in Sissach erwartet Sie ein modernes Mehrfamilienhaus aus dem Jahr 2019. Dieses vereint nachhaltige Bauweise mit höchstem Wohnkomfort. Zur Auswahl stehen zwei exklusive 4.5 Zimmer-Wohnungen, die durch ihre Grosszügigkeit und Lichtdurchflutung bestechen.Mit einer beeindruckenden Gesamtwohnfläche von rund 180 m² pro Einheit bieten diese Wohnungen Raum für höchste Ansprüche. Die ca. 140m² grossen Hauptwohneinheiten überzeugen durch durchdachte Grundrisse und hochwertige Details. Während die Wohnung im Hochparterre einen direkten, beruhigenden Blick ins Grüne bietet, begeistert die Einheit im Obergeschoss mit einem atemberaubenden Panorama über die Juralandschaft. Die sonnigen Terrassen erweitern den Wohnraum nach draussen und laden zu entspannten Stunden unter freiem Himmel ein.Ein besonderes Merkmal dieser Immobilie ist die enorme Flexibilität im Erdgeschoss. Hier befinden sich zwei lichtdurchflutete Räume von je ca. 40m². Diese eignen sich aktuell ideal als repräsentative Home-Office-Bereiche oder Ateliers.Ein entscheidender Vorteil für Käufer mit Weitblick. Nach entsprechender Abklärung mit der Gemeinde besteht hier zudem das Potenzial, diese Flächen zu einer weiteren, eigenständigen Wohnung umzubauen.Folgende Highlights bietet Ihnen diese Immobilie:Zeitgemässer Minergie-Standard 2 x 4.5 Zimmer-Wohnungen mit ca. 140m² Wohnfläche2x 40m2 Zimmer im Erdgeschoss mit viel TageslichtSonnige Terrassen mit Weitsicht über die JuralandschaftCarportFamilienfreundliche, ruhige Lage2 x Aussenparkplätze 2 x Carports 2 x BesucherparkplätzeLassen Sie sich vor Ort von der Qualität und dem einzigartigen Raumgefühl begeistern - wir freuen uns darauf, Ihnen diese Wohnträume bei einer persönlichen Besichtigung vorzustellen","Street on Request","","4450","Sissach","47.4736973","7.8031928","CHF 2’630’000.–","406","","11","2630000",""
"2","12","8","1","https://icasa.ch/4.5-rooms-flat-to-buy-appenzell-ausserrhoden-mittelland-trogen-9043-trogen-1822654.html","4.5 Rooms Flat to buy in Trogen. Behaglich wohnen mit Weitblick ins Grüne","ObjektbeschreibungAn erhöhter, ruhiger Lage mit optimaler Besonnung und in kurzer Gehdistanz zum Bahnhof,präsentiert sich diese gepflegte 4.5 Zimmer Wohnung mit zwei Wintergärten. Die gemütlicheund lichtdurchflutete Wohnung überzeugt neben der harmonischen Wohnatmosphäre mitfolgenden Highlights:freundlichen Eingangsbereich mit Platz für eine Garderobehellen, optimal eingeteilten Wohn- und Essbereich mit direktem Zugang zum Wintergartengeräumige, offene Küche mit V-Zug Küchengeräte, Quooker und pflegeleichten Oberflächengemütlichen Wohnbereich mit Spezial-Speicherofen inkl. Pizza- und Brotbackfunktionzwei charmante Wintergärten, ganzjährig nutzbar, mit schönem Weitblick ins Grünezwei voll ausgestattete Badezimmer, jeweils mit Dusche bzw. Badewannedrei angenehm grosse Schlafzimmer mit 15 -18m2 , eines davon mit Zugang zum zweiten Wintergartenausziehbare Sauna für entspannte Stunden (kann übernommen werden)komfortables Waschen direkt in der Wohnungpraktische Einbauschränke im Korridor bietet Stauraumsämtliche Renovationen erfolgten im Jahre 2021 und 2023 komfortabler Zugang mit Liftzwei Kellerabteile vorhanden sowie Partyraum zur Mitbenützung  Einzelgarage, 2 Aussenparkplätze sowie zusätzlicher Bastelraum vorhanden (nicht im Kaufpreis inbegriffen)  Wie gefällt Ihnen diese wunderschöne Eigentumswohnung? Fordern Sie über das Kontaktformular weitere Informationen an. Ihr IMMOBUTLER®, Monika Rufer, +41 71 580 58 51 oder rufer@immobutler.ch.","Street on Request","","9043","Trogen","47.4078753","9.4647144","CHF 690’000.–","112","","11","690000",""
"3","12","8","1","https://icasa.ch/3-rooms-apartment-to-buy-valais-sierre-crans-montana-3963-crans-montana-1822636.html","3 Rooms Apartment to buy in Crans-Montana. Apartment 3 rooms in Crans-Montana","Ideal location: Just a 5-minute walk from the center of Montana, in a calm and sunny setting, this 3-room apartment will seduce you with its exceptional location.Transformed and renovated on plan: The apartment is currently undergoing a complete transformation. It will be completely renovated and redesigned to offer modern comfort, with quality materials. This property will include: A large, bright living room with direct access to the private garden, ideal for enjoying the sun and the panoramic view. Two spacious bedrooms. Two modern and well-appointed bathrooms.South-facing exposure: Enjoy optimal light throughout the day and a breathtaking view of the surrounding mountains.Parking: An outdoor parking space is included for your convenience.Residence in a real estate companyLocation17, Moubra Road","Route de la Moubra","17","3963","Crans-Montana","46.3085353","7.4821126","CHF 780’000.–","","","7","780000",""
"4","12","8","1","https://icasa.ch/building-land-to-buy-aargau-bremgarten-widen-8967-widen-1822627.html","Building-land to buy in Widen. Exclusive building land in Widen - a dream plot with breathtaking panoramic views","In the most sought-after location in Widen, this exceptional building plot awaits you, impressing both with its distinctive position and enormous development potential. With a generous area of 1,631 m², perfectly serviced, this property offers the ideal foundation for your visionary construction projects.Enjoy the exclusive luxury of an unobstructed, spectacular panoramic view over the entire Reuss Valley, stretching all the way to the impressive Alps. This majestic backdrop will captivate your senses and turn your future home into a true retreat that harmonizes with nature and tranquility.For investors, developers, and private individuals looking to realize their dream home on a unique plot, this land offers an excellent starting point. Thanks to an already completed feasibility study, you can dive straight into planning and begin your projects without any delays.Additional highlight - Expansion opportunity:An irresistible offer: In addition to the 1,631 m² plot, you can acquire an adjacent partial area of 570 m². This expansion option gives you even more flexibility in project development and opens new dimensions for your building plans - whether to increase building volume, create more spacious living solutions, or simply gain additional space for your ideas.The perfect location for high quality of life and lasting investment value:The quiet and sunny position of this plot ensures not only incomparable living quality but also excellent connections to the urban centers of Zurich and Zug. Within just a few minutes, you can reach these vibrant cities offering all the conveniences of modern life, while still relaxing in nature and enjoying the countryside to the fullest.The topography of the plot allows for a variety of construction projects - whether an exclusive single-family home, a luxurious villa, or a modern multi-family building. With a generous total area of approx. 1,631 m² and a utilization factor of 40%, there are no limits to your design possibilities. Take this opportunity to create an exclusive home or realize a profitable investment project benefiting from both the landscape and excellent location. Highlights:Expansion possible: Additional 570 m² - ideal to increase building volume or create additional open spaceVersatile usage options: Perfectly suited for single-family homes, exclusive villas, or modern multi-family projectsStunning panoramic views: Enjoy breathtaking views over the Reuss Valley to the imposing AlpsQuiet and sunny location: Secluded from noise and hustle, yet easily accessible - ideal for top quality of lifePerfect connectivity: Only minutes from Zurich, Zug, and Bremgarten - for quick access to urban centersFully serviced: Water, electricity, and sewage connections already in place - no time lost on infrastructure workFeasibility study available: Start your project immediately and plan according to your ideasExcellent value appreciation: Take advantage of the potential of a plot in this prime location for long-term investmentsW1 zoning: Offers a variety of usage possibilities and maximum flexibility Take advantage of this extraordinary opportunity to acquire a piece of the most desirable region and realize your dreams on this exceptional plot. Whether for private residential construction or a profitable investment project - this building land offers all the possibilities you desire.Arrange a viewing appointment today and see for yourself this unique offer. We look forward to supporting you in realizing your building projects.","Street on Request","","8967","Widen","47.3680474","8.3630648","CHF 4’980’000.–","","1’631","11","4980000",""
"5","12","8","1","https://icasa.ch/6.5-rooms-house-single-house-row-house-to-buy-zurich-bulach-kloten-8302-kloten-1818425.html","6.5 Rooms House-Single-house-Row-house to buy in Kloten. Grosses 6.5-Zi-Reiheneinfamilienhaus","Raum für alle Aspekte des Familienlebens!Dieses 2002 erbaute 6.5-Zi-Reihen-Einfamilienhaus besticht durch seine Grösse, die vom Architekten mit einem modernen, offenen, grosszügigen Grundriss-Layout kombiniert wurde. Es ist prädestiniert, einer Familie mit Kindern ein Zuhause zu sein, das allen Aspekten des modernen Familienlebens gerecht zu werden vermag und darüber hinaus auch noch Raum für ein Hobby oder Home-Office bietet.Neugierig? Der virtuelle Rundgang und die Verkaufsdokumentation bieten Ihnen einen ersten Einblick!HIGHLIGHTS6.5-Zi-ReiheneinfamilienhausNetto-Wohnfläche: ca. 173 m² (EG+OG+DG)Nutzfläche: ca. 203 m² (UG+EG+OG+DG)Kubatur (GVZ): ca. 728 m³Grundstücksfläche: ca. 243 m²Gartenfläche: ca. 114 m², nach SüdenPergola-Sitzplatz mit elektr. HorizontalmarkiseGrosser Wohn-/Essraum im EG mit GartenanschlussOffene, vollständig ausgestattete Küche mit Fenster4 Schlaf-/Individualzimmer à ca. 14 m²2 vollwertige Nasszellen (Badezimmer bzw. Du/WC)Zusätzliches Gäste-WCOffener, voluminöser Galerieraum mit breiter Lukarne und Aussicht bis zum ÜetlibergKeller und Waschküche im UG2 Auto-Parkplätze in Tiefgarage mit direktem Zugang zum HausVerfügbar: per sofort oder nach VereinbarungVerkaufspreis (inkl. PPs): CHF 1'550'000.00Haben wir Ihr Interesse geweckt? Gerne vereinbaren wir mit Ihnen einen persönlichen Besichtigungstermin - kontaktieren Sie uns!","Härdlenstrasse","120","8302","Kloten","47.4563262","8.5918346","CHF 1’550’000.–","173","243","111","1550000",""
"6","12","8","1","https://icasa.ch/6.5-rooms-single-house-to-buy-st-gallen-sarganserland-walenstadt-8880-walenstadt-1822615.html","6.5 Rooms Single-house to buy in Walenstadt. Traumhaus mit Pool und Privatsphäre an sehr sonniger Lage","Traumhaus mit Pool und Wintergarten an sonniger LageDas Traumhaus vieler könnte schon bald Ihr Eigentum sein. Das 1986 erstellte Haus wurde bereits damals mit dem renommierten Architekturpreis ausgezeichnet. Wenn Sie Ihr neues Zuhause sehen, werden Sie verstehen, warum.Das Objekt besticht durch die offene Art mit viel Platz im und ums Haus. Der verführerische Pool im grossen Garten, die drei Sitzplätze oberhalb, vor und neben dem Haus, der grosszügige Wintergarten und die lichtdurchfluteten Räume lassen keine Wünsche offen. Das Erdgeschoss ist lediglich durch Wände abgetrennt was den Wohn- und Essbereich sehr grosszügig macht. An die helle Küche ist das Esszimmer angegliedert. Der Wohnbereich ist aufgeteilt in das eigentliche, sehr helle und einladende Wohnzimmer und eine Bibliothek mit Cheminée.Südlich befindet sich ein gedeckter und ein offener Sitzplatz mit direktem Blick zum Biotop und in die Flumserberge. Auch der angebaute Wintergarten auf der Nordseite lädt zum Verweilen ein und bietet einen direkten Blick in den Garten und den Pool. Die Wendeltreppe in der Mitte des Hauses verbindet die drei Stockwerke und verleiht dem Haus eine besondere Note.Drei Schlafzimmer im Obergeschoss mit einem separaten Bad-WC (mit Eckbadewanne) und einem Sitzplatz zum Garten hinaus vervollständigen den Wohnbereich.Schliesslich befinden sich im UG eine Doppelgarage und eine Einzelgarage, ein separates Dusche-WC, die Waschküche, ausgestattet mit Siemens Waschmaschine und Tumbler, Heizung sowie das Büro und der Schutzraum. Alles in allem, ein echtes Bijou in das Sie sich schnell verlieben werden.Ruhig und dennoch mitten drinIhr Traumhaus befindet sich in Walenstadt, einer aufstrebenden Gemeinde im Sarganserland, bestens ans ÖV-Netz angeschlossen. Das in Sichtnähe befindliche Skigebiet Flumserberg oder der Pizol sind in rund 20 Minuten mit dem Auto erreichbar, der Walensee in 5 Minuten. Ob Wandern, Schwimmen, Skifahren/Snöben oder ganz einfach sich ausruhen und erholen. Wohnen Sie da, wo andere Ferien machen","Tscherlerweg","11A","8880","Walenstadt","47.1232439","9.3263017","CHF 1’725’000.–","210","870","111","1725000",""
"7","12","8","1","https://icasa.ch/2.5-rooms-terrace-flat-to-buy-neuchatel-le-locle-les-ponts-de-martel-2316-les-ponts-de-martel-1822609.html","2.5 Rooms Terrace-flat to buy in Les Ponts-de-Martel. Les Ponts-de-Martel - 2.5 pièces rénové en 2024 (70 m²) avec terrasse et jardin privatif","Les Ponts-de-Martel - 2.5 pièces rénové en 2024 (70 m²) avec terrasse et jardin privatifEntièrement rénové en 2024, cet appartement de 2.5 pièces et 70 m² habitables allie charme, modernité et fonctionnalité. Situé au rez-de-chaussée d'une petite PPE, il offre un cadre de vie paisible et verdoyant, tout en restant proche des commodités et transports publics. Idéal pour une personne seule, un couple ou un pied-à-terre, prêt à être occupé immédiatement.Points fortsAppartement 2.5 pièces de 70 m² entièrement rénové en 2024Terrasse de plain-pied et jardin privatifGarage privé inclus d'environ 13 m²Réduit extérieur + cave privative pour un rangement optimalCuisine ouverte moderne et entièrement équipéeImmeuble bien entretenu, contrôle électrique officiel effectuéCommodités et transports accessibles à pied (train et Car Postal)Un intérieur repensé pour le confortSéjour lumineux avec cuisine ouverte moderne et entièrement équipéeChambre spacieuse, offrant un bel espace de reposSalle de bains rénovée, avec branchement pour machine à laverFinitions modernes et sols de qualité, créant une ambiance éléganteUn extérieur rare pour un 2.5 piècesTerrasse de plain-pied, parfaite pour profiter des beaux joursJardin privatif, idéal pour jardiner ou se détendreRéduit extérieur et cave privative pour un rangement optimalAtouts complémentairesGarage privé d'environ 13 m² inclusLocal à vélos commun disponibleChauffage au mazout performantImmeuble et PPE bien entretenus, offrant tranquillité et sécuritéSituation privilégiéeSitué au coeur du charmant village des Ponts-de-Martel, la copropriété bénéficie d'un environnement calme et qualitatif. Commerces, services et transports publics (train et Car Postal) sont accessibles à pied, garantissant un quotidien pratique et agréable.Résumé2.5 pièces, 70 m² habitablesTerrasse et jardin privatifGarage inclus et espace de rangement supplémentaireEntièrement rénové, prêt à emménagerEnvironnement calme et proche de toutes commoditésUne opportunité rareRénové avec goût, doté d'espaces extérieurs privés et d'un garage, cet appartement représente une opportunité unique dans la région. Disponible immédiatement, il ne nécessite aucun travaux et permet une installation confortable.Contactez-nous dès aujourd'hui !Laissez-vous séduire par le charme et la modernité de ce bien exceptionnel.","Sur demande","1","2316","Les Ponts-de-Martel","47.000359650834","6.7267047647878","CHF 195’000.–","64","","97","195000",""
"8","12","8","1","https://icasa.ch/9.5-rooms-to-buy-neuchatel-val-de-ruz-val-de-ruz-2056-dombresson-1822603.html","9.5 Rooms  to buy in Dombresson. Grande demeure familiale de 2 appartements: 6,5 pièces + 3 pièces","Grande demeure familiale de 2 appartements: 6,5 pièces + 3 piècesCette demeure généreuse nichée dans un quartier calme et résidentiel de Dombresson, où la sérénité du Val-de-Ruz rencontre un potentiel de vie exceptionnel. Offrant une surface habitable de 230 m² intelligemment répartis sur quatre étages, cette bâtisse se distingue par sa polyvalence rare sur le marché actuel.Le c?ur de la maison s'articule autour d'un spacieux appartement de 6,5 pièces, baigné de lumière et conçu pour accueillir une famille en quête de confort et d'espace. En complément, un second logement indépendant de 3 pièces offre une multitude de possibilités : que vous souhaitiez générer un revenu locatif pour optimiser votre investissement, installer un bureau pour une activité indépendante ou créer un espace intergénérationnel pour vos proches, la flexibilité est ici le maître-mot.À l'extérieur, le charme opère tout autant grâce à un magnifique jardin de 850 m². Ce véritable écrin de verdure est une invitation à la détente, offrant un terrain de jeu idéal pour les enfants ou un espace privilégié pour vos soirées d'été face aux paysages apaisants du Jura.Vivre à Dombresson, c'est choisir un cadre de vie authentique et ensoleillé, tout en restant à proximité immédiate des axes menant à Neuchâtel et La Chaux-de-Fonds. Cette propriété allie volume, structure robuste et environnement de qualité, constituant ainsi une opportunité unique pour les acheteurs exigeants. Une visite s'impose pour saisir toute l'atmosphère chaleureuse et le potentiel de transformation que cachent ces murs.Adresse exacte disponible après inscription sur neho.ch.VOUS SOUHAITEZ VISITER ? MERCI DE BIEN VOULOIR VOUS INSCRIRE D'ABORD : https://neho.ch/d/2056-26-1","Dombresson","","2056","Dombresson","47.0720337","6.9579875","CHF 925’000.–","163","950","11","925000",""
