category,url,image,price,price_value,address,locality,region,postal_code,country,latitude,longitude,rooms_number,floor,year_built,use,plot_area,living_space,floor_space,total_floor_area,sia_gv_volume,rent_squared_meters_month
"Bifamiliar house","https://icasa.ch/5.5-rooms-house-bifamiliar-house-to-buy-aargau-bremgarten-wohlen-ag-5610-wohlen-ag-1822711.html","https://casagateway.ch/media/provider-13331/property-1714848/9b3aae77a6d811d2ce6e1dac9f18b418.jpeg?p=md","CHF 1,160,000.-","1160000","Brunnmattstrasse 32A","Wohlen AG","Aargau","5610","CH","47.3480064","8.29038","5.5","NA","2005","NA","304","NA","NA","NA","NA","NA"
"Apartment","https://icasa.ch/5.5-rooms-apartment-to-buy-basel-landschaft-sissach-sissach-4450-sissach-1822710.html","https://casagateway.ch/media/provider-13680/property-1655847/c6cb2722a40395a8b9fc3e028d07e021.jpeg?p=md","CHF 1,295,000.-","1295000","","Sissach","Basel-landschaft","4450","CH","47.4736973","7.8031928","5.5","1","NA","NA","NA","204","NA","NA","NA","NA"
"Terrace house","https://icasa.ch/5.5-rooms-terrace-house-to-buy-aargau-bremgarten-wohlen-ag-5610-wohlen-ag-1822709.html","https://casagateway.ch/media/provider-13331/property-1662667/6053bb775425eb71c313ac0f8d1fa644.jpeg?p=md","CHF 2,590,000.-","2590000","Delliackerweg 14","Wohlen AG","Aargau","5610","CH","47.3532629","8.284421","5.5","2","NA","NA","NA","268","NA","NA","NA","NA"
"Apartment","https://icasa.ch/5.5-rooms-apartment-to-buy-basel-landschaft-sissach-sissach-4450-sissach-1822708.html","https://casagateway.ch/media/provider-13680/property-1655853/ce6dc73b29c8dfec3ef1e78053a05a24.jpeg?p=md","CHF 1,335,000.-","1335000","","Sissach","Basel-landschaft","4450","CH","47.4736973","7.8031928","5.5","2","NA","NA","NA","202","NA","NA","NA","NA"
"Multiple dwelling","https://icasa.ch/11-rooms-multiple-dwelling-to-buy-basel-landschaft-sissach-sissach-4450-sissach-1822707.html","https://casagateway.ch/media/provider-13680/property-1655849/0b9224e45155eb29c99ad8b18ff49743.jpeg?p=md","CHF 2,630,000.-","2630000","","Sissach","Basel-landschaft","4450","CH","47.4736973","7.8031928","11","NA","2019","NA","NA","406","NA","NA","NA","NA"
"Apartment","https://icasa.ch/5.5-rooms-terrace-house-apartment-to-buy-aargau-brugg-brugg-5222-umiken-1822705.html","https://casagateway.ch/media/provider-13680/property-1726673/55ee1a2bfd9272135d02308f6ead500b.png?p=md","CHF 1,190,000.-","1190000","","Umiken","Aargau","5222","CH","47.4825891","8.1875693","5.5","4","NA","NA","NA","163","NA","NA","NA","NA"
"Terrace flat","https://icasa.ch/5.5-rooms-apartment-terrace-flat-to-buy-basel-landschaft-arlesheim-binningen-4102-binningen-1822703.html","https://casagateway.ch/media/provider-13680/property-1726671/170a140a37bb45d5fcbee8bb59dd1c19.jpeg?p=md","CHF 2,490,000.-","2490000","","Binningen","Basel-landschaft","4102","CH","47.5379528","7.5709919","5.5","NA","2005","NA","NA","255","NA","NA","NA","NA"
"Apartment","https://icasa.ch/3.5-rooms-garden-apartment-apartment-to-buy-aargau-lenzburg-hendschiken-5604-hendschiken-1822702.html","https://casagateway.ch/media/provider-13352/property-1697826/1d835a80add4cd93903f5387fc69a5bc.jpeg?p=md","CHF 895,000.-","895000","Schmittengässli 4","Hendschiken","Aargau","5604","CH","47.385532","8.2204951","3.5","NA","2026","NA","NA","108","NA","NA","NA","NA"
"Flat","https://icasa.ch/4.5-rooms-apartment-flat-to-buy-aargau-lenzburg-hendschiken-5604-hendschiken-1822701.html","https://casagateway.ch/media/provider-13352/property-1697820/b40e767fe4af0df3f066dceb31dbdd25.png?p=md","CHF 835,000.-","835000","Schmittengässli 4","Hendschiken","Aargau","5604","CH","47.385532","8.2204951","4.5","1","NA","NA","NA","110","NA","NA","NA","NA"
"Flat","https://icasa.ch/4.5-rooms-apartment-flat-to-buy-aargau-lenzburg-hendschiken-5604-hendschiken-1822700.html","https://casagateway.ch/media/provider-13352/property-1712249/10b26d2d053400c1b924b501572d695a.png?p=md","CHF 820,000.-","820000","Schmittengässli 4","Hendschiken","Aargau","5604","CH","47.385532","8.2204951","4.5","1","NA","NA","NA","108","NA","NA","NA","NA"
"Flat","https://icasa.ch/3.5-rooms-apartment-flat-to-buy-aargau-lenzburg-hendschiken-5604-hendschiken-1822699.html","https://casagateway.ch/media/provider-13352/property-1697820/8257444f544e35902841faf3a785e69f.png?p=md","CHF 660,000.-","660000","Schmittengässli 4","Hendschiken","Aargau","5604","CH","47.385532","8.2204951","3.5","1","NA","NA","NA","83","NA","NA","NA","NA"
"Flat","https://icasa.ch/4.5-rooms-apartment-flat-to-buy-aargau-lenzburg-hendschiken-5604-hendschiken-1822697.html","https://casagateway.ch/media/provider-13352/property-1697822/4a3fa729f415f0fd947917707e3ba256.jpeg?p=md","CHF 845,000.-","845000","Schmittengässli 4","Hendschiken","Aargau","5604","CH","47.385532","8.2204951","4.5","2","NA","NA","NA","108","NA","NA","NA","NA"
"Flat","https://icasa.ch/3.5-rooms-apartment-flat-to-buy-aargau-lenzburg-hendschiken-5604-hendschiken-1822696.html","https://casagateway.ch/media/provider-13352/property-1697820/442ba80b12cb30ddb9e7cac904eb5284.jpeg?p=md","CHF 680,000.-","680000","Schmittengässli 4","Hendschiken","Aargau","5604","CH","47.385532","8.2204951","3.5","2","NA","NA","NA","83","NA","NA","NA","NA"
"Bifamiliar house","https://icasa.ch/6.5-rooms-bifamiliar-house-to-buy-zurich-dietikon-geroldswil-8954-geroldswil-1822680.html","https://casagateway.ch/media/provider-13713/property-1720832/30a62abfc1cc2aa7f39dfddebfc2463f.jpeg?p=md","CHF 2,310,000.-","2310000","","Geroldswil","Zurich","8954","CH","47.4229149","8.4143743","6.5","NA","1991","NA","459","NA","NA","NA","NA","NA"
"Flat","https://icasa.ch/2.5-rooms-loft-flat-to-buy-zurich-meilen-uetikon-am-see-8707-uetikon-am-see-1822678.html","https://casagateway.ch/media/provider-13713/property-1677792/fc9cdfbc8323254a15e375bbc0169e48.jpeg?p=md","On Request","0","","Uetikon am See","Zurich","8707","CH","47.2659401","8.6767808","2.5","2","NA","NA","NA","140","NA","NA","NA","NA"
"NA","https://icasa.ch/to-buy-aargau-zofingen-oftringen-4665-oftringen-1822669.html","https://casagateway.ch/media/provider-13713/property-1634224/bf5a520b5f2019d18ffed91584ad4b41.jpeg?p=md","CHF 1,195,000.-","1195000","","Oftringen","Aargau","4665","CH","47.3129528","7.9198655","NA","NA","1992","Commercial","NA","NA","240","NA","NA","NA"
"NA","https://icasa.ch/to-buy-aargau-zofingen-rothrist-4852-rothrist-1822665.html","https://casagateway.ch/media/provider-13713/property-1634224/bf5a520b5f2019d18ffed91584ad4b41.jpeg?p=md","CHF 1,195,000.-","1195000","","Rothrist","Aargau","4852","CH","47.3004315","7.8873473","NA","NA","1992","Commercial","NA","NA","240","NA","NA","NA"
"NA","https://icasa.ch/to-buy-aargau-aarau-aarau-5000-aarau-1822664.html","https://casagateway.ch/media/provider-13713/property-1634224/bf5a520b5f2019d18ffed91584ad4b41.jpeg?p=md","CHF 1,195,000.-","1195000","","Aarau","Aargau","5000","CH","47.3879577","8.044136","NA","NA","1992","Commercial","NA","NA","240","NA","NA","NA"
"Terrace flat","https://icasa.ch/5.5-rooms-terrace-flat-to-buy-aargau-bremgarten-bremgarten-ag-5620-bremgarten-ag-1822663.html","https://casagateway.ch/media/provider-13713/property-1722974/9696eb28aad5943d9c85470a9ab29786.jpeg?p=md","On Request","0","","Bremgarten AG","Aargau","5620","CH","47.3579427","8.3254305","5.5","4","NA","NA","NA","167","NA","NA","NA","NA"
"Single house","https://icasa.ch/8-rooms-single-house-to-buy-obwalden-sarnen-6060-ramersberg-1822662.html","https://casagateway.ch/media/provider-13713/property-1716382/b637b677e1e000c96a09f39b68a10cb8.jpeg?p=md","CHF 2,995,000.-","2995000","","Ramersberg","Obwalden","6060","CH","46.8974442","8.2329791","8","3","NA","NA","850","NA","NA","NA","NA","NA"
"Flat","https://icasa.ch/4.5-rooms-apartment-flat-to-buy-aargau-lenzburg-hendschiken-5604-hendschiken-1822661.html","https://casagateway.ch/media/provider-13352/property-1697820/b40e767fe4af0df3f066dceb31dbdd25.png?p=md","CHF 855,000.-","855000","Schmittengässli 4","Hendschiken","Aargau","5604","CH","47.385532","8.2204951","4.5","2","NA","NA","NA","110","NA","NA","NA","NA"
"House","https://icasa.ch/8-rooms-house-to-buy-aargau-bremgarten-widen-8967-widen-1822660.html","https://casagateway.ch/media/provider-13352/property-1718743/0b783a91bc4e3d9df5e404f3af052645.jpeg?p=md","CHF 1,795,000.-","1795000","Bachmattweg 6","Widen","Aargau","8967","CH","47.36269","8.3581483","8","NA","1955","NA","897","NA","NA","NA","NA","NA"
"Villa","https://icasa.ch/6.5-rooms-single-house-villa-to-buy-aargau-lenzburg-seon-5703-seon-1822658.html","https://casagateway.ch/media/provider-13352/property-1682439/3b84962ff5a00b954912b73614973421.jpeg?p=md","CHF 2,495,000.-","2495000","Aabachstrasse 69","Seon","Aargau","5703","CH","47.3536214","8.1657761","6.5","NA","2001","NA","973","NA","NA","NA","NA","NA"
"Flat","https://icasa.ch/3.5-rooms-flat-to-buy-luzern-sursee-triengen-6234-triengen-1822657.html","https://casagateway.ch/media/provider-13484/property-1726625/647e5a79a0d7243781cf0a2bb46e9b64.jpeg?p=md","CHF 850,000.-","850000","Sonnhalde 4","Triengen","Luzern","6234","CH","47.2352203","8.0817894","3.5","2","NA","NA","NA","110","NA","NA","NA","NA"
"Garden apartment","https://icasa.ch/4.5-rooms-garden-apartment-to-buy-aargau-bremgarten-berikon-8965-berikon-1822655.html","https://casagateway.ch/media/provider-13352/property-1683982/052776a9ffe391136e624f1b7ede8736.png?p=md","CHF 1,075,000.-","1075000","Bahnhofstrasse 64","Berikon","Aargau","8965","CH","47.3520707","8.369885","4.5","NA","1968","NA","NA","121","NA","NA","NA","NA"
"Plot","https://icasa.ch/building-land-plot-to-buy-aargau-zurzach-koblenz-5322-koblenz-1724076.html","https://casagateway.ch/media/provider-13844/property-1639215/d12fb713d34b6eb09715a4e704f1276d.png?p=md","CHF 3,850,000.-","3850000","","Koblenz","Aargau","5322","CH","47.6034798","8.2423579","NA","NA","NA","Building, Residential","4541","NA","NA","NA","NA","NA"
"Flat","https://icasa.ch/4.5-rooms-flat-to-buy-appenzell-ausserrhoden-mittelland-trogen-9043-trogen-1822654.html","https://casagateway.ch/media/provider-12784/property-1726622/47e7f491-f22b-4760-a536-ab4be12c0155.jpg?p=md","CHF 690,000.-","690000","","Trogen","Appenzell-ausserrhoden","9043","CH","47.4078753","9.4647144","4.5","NA","1975","NA","NA","112","NA","NA","NA","NA"
"Single house","https://icasa.ch/6-rooms-single-house-to-buy-ticino-mendrisio-mendrisio-6863-besazio-1822653.html","https://casagateway.ch/media/provider-13699/property-1726531/0ee4c5b9569c3e6a0e99edc0a1a4d71a.jpeg?p=md","CHF 780,000.-","780000","","Besazio","Ticino","6863","CH","45.8713806","8.9528378","6","2","NA","NA","97","NA","NA","NA","NA","NA"
